Number,Family,MaxAge,Year,Class,UMAP_1,UMAP_2,geo_1,geo_2,Scaled_Rad_1,Scaled_Rad_2,Cluster
595,CORNACEAE,117.0,1872,Monocot,2.28201961517334,8.950895309448242,5.309663236012966,-0.5690064495033766,0.1,0.0,0
1413,PINACEAE,96.0,1873,Pinopsida,2.6523752212524414,9.21989631652832,3.914683551586904,1.434355489736845,0.15,0.0,0
16780,PINACEAE,64.0,1874,Pinopsida,2.2751760482788086,9.18178939819336,4.872980282931394,1.176537126691528,0.2,0.0,0
1476,PINACEAE,80.0,1874,Pinopsida,2.332364082336426,9.095956802368164,4.096694653849227,1.102844346922666,0.1246979603717467,0.1563662964936059,0
1476,PINACEAE,80.0,1874,Pinopsida,2.332364082336426,9.095956802368164,4.109587076899743,1.0828797811000186,-0.0445041867912628,0.1949855824363647,0
1476,PINACEAE,80.0,1874,Pinopsida,2.332364082336426,9.095956802368164,4.061243494079463,1.1343497314564956,-0.1801937735804838,0.0867767478235116,0
1476,PINACEAE,80.0,1874,Pinopsida,2.332364082336426,9.095956802368164,4.138674924558245,1.1308721030973174,-0.1801937735804838,-0.0867767478235116,0
16780,PINACEAE,64.0,1874,Pinopsida,2.2751760482788086,9.18178939819336,4.749510114073246,1.196309595658022,-0.0445041867912629,-0.1949855824363647,0
16780,PINACEAE,64.0,1874,Pinopsida,2.2751760482788086,9.18178939819336,5.145201342087376,1.061270385971966,0.1246979603717466,-0.156366296493606,0
1403,PINACEAE,95.0,1875,Pinopsida,2.074558734893799,8.703279495239258,3.881085013833172,1.3300232620340466,0.25,0.0,7
16565,PINACEAE,119.0,1875,Pinopsida,2.38494610786438,8.608841896057129,4.132255385037752,1.4955649756170717,-0.1249999999999999,0.2165063509461097,7
16565,PINACEAE,119.0,1875,Pinopsida,2.38494610786438,8.608841896057129,4.006262190058578,1.3043550705347116,-0.1250000000000001,-0.2165063509461096,7
16477,PINACEAE,59.0,1879,Pinopsida,2.314137458801269,9.11465549468994,4.041548512128429,1.110144402502101,0.3,0.0,0
16477,PINACEAE,59.0,1879,Pinopsida,2.314137458801269,9.11465549468994,4.020856334145947,1.0808128639955612,0.2523760598493543,0.1621922452366792,0
22420,NYSSACEAE,62.0,1879,Monocot,2.25528621673584,8.904870986938477,2.4073124260110035,3.506635926621584,0.1246245039005659,0.2728895986063555,16
16573,PINACEAE,109.0,1879,Pinopsida,2.314845561981201,9.135554313659668,3.5872327304166447,1.1534022124237708,-0.0426944514819855,0.2969464325642798,0
16477,PINACEAE,59.0,1879,Pinopsida,2.314137458801269,9.11465549468994,3.986713783928508,1.0443354726453435,-0.1964582201835855,0.2267248723062775,0
16573,PINACEAE,109.0,1879,Pinopsida,2.314845561981201,9.135554313659668,3.532193757228015,1.13869104529158,-0.2878478920843492,0.0845197670524288,0
16573,PINACEAE,109.0,1879,Pinopsida,2.314845561981201,9.135554313659668,3.519245587324804,1.2087324840986184,-0.2878478920843492,-0.0845197670524288,0
1483,PINACEAE,115.0,1879,Pinopsida,1.471260666847229,8.731841087341309,4.248474136614959,1.0219441833060046,-0.1964582201835855,-0.2267248723062774,2
16573,PINACEAE,109.0,1879,Pinopsida,2.314845561981201,9.135554313659668,3.5673416732659007,1.1663721266436369,-0.0426944514819855,-0.2969464325642797,0
16573,PINACEAE,109.0,1879,Pinopsida,2.314845561981201,9.135554313659668,3.549859265043324,1.163593100513026,0.1246245039005658,-0.2728895986063555,0
16573,PINACEAE,109.0,1879,Pinopsida,2.314845561981201,9.135554313659668,3.618867152405528,1.1772406063751075,0.2523760598493543,-0.1621922452366792,0
1332,TAXACEAE,68.0,1880,Pinopsida,4.178897857666016,8.747421264648438,3.361333469119017,1.0593317835619018,0.35,0.0,18
1485,PINACEAE,112.0,1880,Pinopsida,2.2869462966918945,10.279879570007324,4.2033369595396834,1.1138842880986886,-0.1749999999999999,0.3031088913245535,12
1430,PINACEAE,117.0,1880,Pinopsida,1.5530376434326172,11.8136625289917,4.081360422128,1.3771991724015606,-0.1750000000000001,-0.3031088913245534,4
1559,PINACEAE,66.0,1881,Pinopsida,4.038304328918457,8.731703758239746,4.800880367016816,0.8873882172711092,0.3999999999999999,0.0,18
1136-3,ELAEAGNACEAE,109.0,1881,Eudicot,4.036365032196045,8.429607391357422,2.887980133969449,3.133453648878458,-0.1999999999999999,0.3464101615137755,18
1136-3,ELAEAGNACEAE,109.0,1881,Eudicot,4.036365032196045,8.429607391357422,2.7672160907961825,3.153076792565571,-0.2000000000000001,-0.3464101615137753,18
12410,PINACEAE,82.0,1882,Pinopsida,2.524855136871338,9.051745414733888,4.473676081538997,0.8467904985227506,0.4499999999999999,0.0,0
1814,ANACARDIACEAE,122.0,1882,Eudicot,2.550450086593628,9.097309112548828,1.92196534565619,3.8067576183766505,2.7554552980815445e-17,0.4499999999999999,0
